,artist_name,track_name,track_id,popularity,num_artists,release_month,release_weekday,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,track_len,artist_len
0,Post Malone,Circles,21jGcNKet2qwijlDFuPiPb,99,1,9,5,0.695,0.762,0,-3.497,1,0.0395,0.192,0.00244,0.0863,0.553,120.042,215280,4,7,11
1,Travis Scott,HIGHEST IN THE ROOM,3eekarcy7kvN4yt5ZFzltW,98,1,10,5,0.598,0.427,7,-8.764,0,0.0317,0.0546,5.83e-06,0.21,0.0605,76.469,175721,4,19,12
2,Juice WRLD,Bandit (with YoungBoy Never Broke Again),6Gg1gjgKi2AK4e0qzsR7sd,94,2,10,5,0.474,0.631,5,-5.884,0,0.343,0.0687,0.0,0.132,0.425,180.051,189323,4,40,10
3,Selena Gomez,Lose You To Love Me,1HfMVBKM75vxSfsQ5VefZ5,99,1,10,3,0.505,0.34,4,-9.005,1,0.0438,0.576,0.0,0.21,0.0916,101.993,206459,4,19,12
4,blackbear,hot girl bummer,7aiClxsDWFRQ0Kzk5KI5ku,97,1,8,5,0.778,0.559,6,-7.109,0,0.0776,0.128,0.0,0.399,0.678,129.989,185093,1,15,9
5,YNW Melly,223's (feat. 9lokknine),4sjiIpEv617LDXaidKioOI,91,2,8,5,0.932,0.547,0,-7.787,0,0.333,0.0388,0.0,0.0924,0.695,94.998,176640,4,23,9
6,Maroon 5,Memories,2b8fOow8UzyDFAE27YhOZM,100,1,9,5,0.764,0.32,11,-7.209,1,0.0546,0.837,0.0,0.0822,0.575,91.019,189486,4,8,8
7,Lewis Capaldi,Someone You Loved,7qEHsqek33rTcFNT9PFqLf,96,1,5,5,0.501,0.405,1,-5.679,1,0.0319,0.751,0.0,0.105,0.446,109.891,182161,4,17,13
8,Billie Eilish,everything i wanted,3ZCTVFBt2Brf31RLEnCkWJ,96,1,11,3,0.704,0.225,6,-14.454,0,0.0994,0.902,0.657,0.106,0.243,120.006,245426,4,19,13
9,NLE Choppa,Camelot,4sWuPniHClkInYAnzXAYUF,90,1,9,5,0.787,0.713,7,-5.252,1,0.401,0.0849,0.0,0.717,0.762,175.041,148759,4,7,10
